file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.57,0.59,0.8818721,-8.157205,22.790586,0.04645668,-0.0068526356,32.983173,0.009761402,4.8984857,-0.36358497,12.888515,37.935184,888.2641,1242.3324,-14.113747,1848.3651,-28.280487,3237.9958,-40.35164
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.58,0.6,0.8646717,-8.844804,24.520254,0.049248468,-0.0036435947,33.38541,0.01745618,3.4756365,1.5283551,11.602534,39.447124,907.30975,1199.7262,-21.35406,1868.5863,-32.636364,3208.1848,-42.697094
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.59,0.61,1.0131794,-13.008667,31.459412,0.056506734,-0.007890794,33.6761,0.025045276,2.8055732,3.964862,10.927854,36.853806,734.7233,1271.4059,-17.839933,1645.1898,-29.348394,2866.6533,-40.609432
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.6,0.62,1.1078542,-17.658422,35.563507,0.06605413,-0.018274454,33.322258,0.027691677,1.7283176,5.1623273,7.3016644,30.61039,542.0739,1276.5588,-14.5286,1414.1289,-29.197874,2544.8357,-37.422756
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.61,0.63,1.1947676,-20.678331,36.362556,0.08396285,-0.021045223,32.776936,0.016815342,1.9458195,6.124513,5.2381215,30.56109,373.7716,1386.8568,-9.574126,1294.2284,-29.553885,2397.3943,-40.135216
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.62,0.64,1.0321604,-22.318993,35.86078,0.07973266,-0.022563266,32.0895,0.006044691,1.4105359,6.5467887,6.3686748,31.58489,383.46057,1354.7802,-11.148364,1287.8998,-32.857925,2466.485,-42.733257
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.63,0.65,0.8798893,-23.664007,37.096508,0.0752561,-0.023078501,31.589205,0.021538245,1.312514,6.5302505,11.394168,35.490234,537.32837,1492.6317,-18.615826,1473.2676,-34.81251,2697.3665,-44.446884
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.64,0.66,0.7712514,-26.516699,40.997833,0.052290823,-0.028216891,30.96199,0.04285976,1.3425831,4.841617,11.93251,35.65992,514.2279,1509.3467,-14.98436,1372.0449,-32.557446,2618.6123,-40.985107
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.65,0.67,0.7460084,-29.86741,42.98901,0.04438216,-0.03736389,30.446821,0.06418127,1.372652,3.4635248,9.13955,36.804504,674.23627,1433.0044,-17.546448,1740.6083,-30.860056,2934.8064,-37.620785
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.66,0.68,0.7675769,-26.604986,37.77148,0.02950001,-0.03099677,30.172358,0.04580299,1.101607,3.8094528,4.1854897,37.913837,499.21646,1363.5885,-3.710928,1552.4653,-24.6818,2691.5378,-34.553772
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.67,0.69,0.8487609,-23.06919,34.803356,0.052003358,-0.026268026,30.205713,0.04648611,1.5635833,6.078369,1.9113318,38.412533,510.96317,1251.9639,-1.0725847,1638.3988,-20.980558,2720.9849,-32.414127
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.68,0.7,1.159358,-18.669443,33.60468,0.075998306,-0.01739145,30.247734,0.03813001,2.2945297,8.303945,-0.32869515,37.477077,365.4169,1383.0236,7.933021,1362.7635,-14.231613,2609.178,-30.472582
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.69,0.71,1.5074253,-19.369072,36.55275,0.10148656,-0.019792864,30.244825,0.05917034,3.058606,9.514054,-2.6608396,35.173645,398.0557,1379.2227,9.585676,1423.7174,-13.890354,2769.0476,-28.154337
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.7,0.72,1.8390965,-18.933556,37.619717,0.1045777,-0.020835096,30.213507,0.038922917,2.3059251,9.603733,-4.5988755,32.980774,406.82324,1439.2178,11.070039,1411.5135,-10.667727,2810.9385,-26.509607
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.71,0.73,2.0055609,-18.29395,36.85606,0.11204112,-0.02243574,30.162613,0.02836763,1.2823006,9.121341,-5.681544,31.188913,399.313,1365.1823,9.316125,1345.4042,-7.835942,2665.8416,-25.543139
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.72,0.74,2.1437092,-17.192009,37.96243,0.11329218,-0.028289435,30.0794,0.008799928,0.3886726,7.8562965,-5.9537253,29.629805,389.6923,1318.1266,6.4876113,1290.2217,-3.7905655,2576.5632,-25.1747
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.73,0.75,2.2524958,-15.614978,37.291515,0.10135455,-0.032439794,29.932793,0.0077365395,0.68562174,5.979267,-6.4424667,27.976654,379.75223,1306.8373,2.7261336,1245.2957,-4.968392,2529.614,-25.250519
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.74,0.76,2.3377035,-13.353114,35.917374,0.110632576,-0.04011954,29.79653,0.006446038,0.6045458,3.7933683,-7.9241004,29.830627,378.3497,1325.2455,3.665239,1226.5326,-6.870434,2534.3088,-29.658216
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.75,0.77,2.2674646,-12.8630905,33.393692,0.105490275,-0.044435453,29.80793,0.0033329118,0.54966074,1.9689049,-9.475585,30.60494,375.02463,1347.9296,1.7250037,1200.9741,-8.631673,2547.175,-32.372765
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.76,0.78,1.9238229,-14.264195,33.6143,0.11870635,-0.048563782,29.92245,0.0115528265,0.37500855,-0.1466562,-9.141106,31.657507,375.66284,1305.8226,2.7939937,1180.9064,-5.886871,2573.0115,-32.356342
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.77,0.79,1.4972878,-14.470497,34.409855,0.09498989,-0.048383325,29.558626,0.012577328,2.0294783,-1.4430221,-3.6812983,29.017914,364.06226,1294.0522,0.44272125,1163.3994,-2.5002086,2634.8572,-28.404501
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.78,0.8,1.1083883,-15.843839,34.32213,0.09062078,-0.046113845,29.122421,0.019768443,3.463208,-0.9695809,1.2052531,27.341574,342.46207,1319.5245,0.0,1138.5946,1.4209877,2603.929,-25.51065
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.79,0.81,0.9502892,-13.8960905,31.352205,0.06800015,-0.040556084,28.655165,0.022892827,3.2768748,1.32252,5.0027165,25.380608,564.10114,1287.1802,3.1570399,1666.9818,-6.122622,2771.3684,-24.525797
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.8,0.82,1.4372269,-12.162322,30.495646,0.06273318,-0.0353404,28.667442,0.025051145,2.126182,3.7958527,4.6971803,23.807474,594.5651,1297.4479,0.58039427,1714.2648,-7.347004,2790.5437,-23.133787
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.81,0.83,2.1706085,-8.1226635,30.439596,0.045104045,-0.027600745,28.67518,0.020859731,1.2779578,5.0406337,4.5294957,22.582106,636.59424,1312.4496,-1.3149444,1795.0674,-10.276485,2812.5105,-22.546394
